time	V(vin)	V(n002)
0.000000000000000e+000	2.500000e+000	2.499064e+000
9.999999960041972e-012	2.500001e+000	2.499064e+000
1.999999992008394e-011	2.500002e+000	2.499064e+000
3.999999984016789e-011	2.500004e+000	2.499064e+000
7.999999968033578e-011	2.500007e+000	2.499064e+000
8.999999964037775e-011	2.500008e+000	2.499064e+000
1.099999995604617e-010	2.500009e+000	2.499064e+000
1.499999994006296e-010	2.500012e+000	2.499064e+000
1.928575369964735e-010	2.500016e+000	2.499064e+000
2.529334785834417e-010	2.500021e+000	2.499064e+000
2.617919197743929e-010	2.500021e+000	2.499064e+000
2.795088021562952e-010	2.500022e+000	2.499064e+000
2.839380227517708e-010	2.500023e+000	2.499064e+000
2.927964639427220e-010	2.500024e+000	2.499065e+000
3.105133463246243e-010	2.500025e+000	2.499065e+000
3.318790182177073e-010	2.500027e+000	2.499065e+000
3.633817786191524e-010	2.500029e+000	2.499065e+000
3.967907399360538e-010	2.500032e+000	2.499065e+000
4.037892669524682e-010	2.500032e+000	2.499065e+000
4.177863209852969e-010	2.500033e+000	2.499065e+000
4.282841115099185e-010	2.500034e+000	2.499065e+000
4.300337432640221e-010	2.500034e+000	2.499065e+000
4.335330067722292e-010	2.500035e+000	2.499065e+000
4.361574544033846e-010	2.500035e+000	2.499065e+000
4.396567179115918e-010	2.500035e+000	2.499065e+000
4.466552449280062e-010	2.500036e+000	2.499065e+000
4.606522989608349e-010	2.500037e+000	2.499065e+000
4.886464070264924e-010	2.500039e+000	2.499065e+000
4.956449340429068e-010	2.500040e+000	2.499065e+000
5.096419880757355e-010	2.500041e+000	2.499065e+000
5.376360961413930e-010	2.500043e+000	2.499065e+000
5.829562604171589e-010	2.500046e+000	2.499065e+000
6.285495329031373e-010	2.500050e+000	2.499065e+000
6.915015223265407e-010	2.500055e+000	2.499065e+000
7.574149545313346e-010	2.500060e+000	2.499065e+000
8.132181694821118e-010	2.500064e+000	2.499065e+000
8.754858925413286e-010	2.500069e+000	2.499065e+000
9.149963034524056e-010	2.500072e+000	2.499065e+000
9.209791781778460e-010	2.500073e+000	2.499065e+000
9.329449276287269e-010	2.500074e+000	2.499065e+000
9.568764265304887e-010	2.500076e+000	2.499065e+000
1.000000000000000e-009	2.500079e+000	2.499065e+000
1.004312357346951e-009	2.500079e+000	2.499065e+000
1.012937072040854e-009	2.500080e+000	2.499065e+000
1.030186501428658e-009	2.500082e+000	2.499065e+000
1.064685360204267e-009	2.500084e+000	2.499065e+000
1.122385942473299e-009	2.500089e+000	2.499065e+000
1.210917217079314e-009	2.500096e+000	2.499064e+000
1.334397647901257e-009	2.500105e+000	2.499064e+000
1.475555224188583e-009	2.500116e+000	2.499063e+000
1.641839412163724e-009	2.500129e+000	2.499062e+000
1.870377418960944e-009	2.500147e+000	2.499060e+000
2.234560465517291e-009	2.500176e+000	2.499059e+000
2.842314666694895e-009	2.500224e+000	2.499063e+000
3.836320138621893e-009	2.500302e+000	2.499097e+000
5.579100497702097e-009	2.500439e+000	2.499256e+000
9.064661215862505e-009	2.500712e+000	2.500016e+000
1.603578265218332e-008	2.501260e+000	2.503404e+000
2.997802552482495e-008	2.502355e+000	2.517521e+000
5.786251127010821e-008	2.504544e+000	2.561867e+000
7.028615644048896e-008	2.505519e+000	2.587522e+000
7.742810886423345e-008	2.506079e+000	2.604366e+000
8.449086446361911e-008	2.506633e+000	2.621526e+000
9.092709419376579e-008	2.507138e+000	2.637371e+000
9.253615162630246e-008	2.507264e+000	2.641373e+000
9.575426649137579e-008	2.507517e+000	2.649424e+000
9.816785264018079e-008	2.507706e+000	2.655493e+000
9.857011699831496e-008	2.507737e+000	2.656507e+000
9.937464571458330e-008	2.507800e+000	2.658537e+000
1.009837031471200e-007	2.507926e+000	2.662600e+000
1.021022628158579e-007	2.508014e+000	2.665431e+000
1.033336319630233e-007	2.508111e+000	2.668562e+000
1.057963702573542e-007	2.508304e+000	2.674861e+000
1.089508908045139e-007	2.508551e+000	2.682977e+000
1.152599318988334e-007	2.509045e+000	2.699290e+000
1.232312872691641e-007	2.509669e+000	2.719951e+000
1.329691024579263e-007	2.510432e+000	2.745239e+000
1.424500679042455e-007	2.511173e+000	2.769953e+000
1.557411926757845e-007	2.512213e+000	2.804826e+000
1.747705040854895e-007	2.513699e+000	2.855182e+000
2.128291269048995e-007	2.516665e+000	2.956555e+000
2.293775564437924e-007	2.517953e+000	3.000739e+000
2.415029671129806e-007	2.518895e+000	3.033053e+000
2.505596247246225e-007	2.519598e+000	3.057022e+000
2.578609611252711e-007	2.520164e+000	3.076053e+000
2.665075952641707e-007	2.520834e+000	3.097965e+000
2.743716631330776e-007	2.521443e+000	3.116991e+000
2.839363907598244e-007	2.522182e+000	3.138839e+000
2.929000718177399e-007	2.522875e+000	3.158038e+000
3.052448172190527e-007	2.523828e+000	3.182712e+000
3.151245959582487e-007	2.524589e+000	3.201184e+000
3.207454901192741e-007	2.525022e+000	3.211052e+000
3.257163560694939e-007	2.525404e+000	3.219367e+000
3.300577020114666e-007	2.525738e+000	3.226353e+000
3.348214660758719e-007	2.526104e+000	3.233641e+000
3.443489942046825e-007	2.526835e+000	3.247541e+000
3.461062630145432e-007	2.526970e+000	3.249983e+000
3.469848974194735e-007	2.527037e+000	3.251168e+000
3.473363511814457e-007	2.527064e+000	3.251638e+000
3.480392587053899e-007	2.527118e+000	3.252576e+000
