time	V(b0)	V(b1)	V(mosi)
0.000000000000000e+000	5.000000e+000	5.000000e+000	0.000000e+000
9.999999960041972e-012	5.000009e+000	5.000009e+000	0.000000e+000
1.999999992008394e-011	5.000018e+000	5.000019e+000	0.000000e+000
3.999999984016789e-011	5.000040e+000	5.000040e+000	0.000000e+000
7.999999968033578e-011	5.000085e+000	5.000086e+000	0.000000e+000
8.999999964037775e-011	5.000097e+000	5.000098e+000	0.000000e+000
1.099999995604617e-010	5.000123e+000	5.000124e+000	0.000000e+000
1.499999994006296e-010	5.000175e+000	5.000175e+000	0.000000e+000
1.928575369964735e-010	5.000229e+000	5.000230e+000	0.000000e+000
2.529334785834417e-010	5.000302e+000	5.000304e+000	0.000000e+000
2.617919197743929e-010	5.000311e+000	5.000314e+000	0.000000e+000
2.795088021562952e-010	5.000329e+000	5.000332e+000	0.000000e+000
2.839380227517708e-010	5.000334e+000	5.000336e+000	0.000000e+000
2.927964639427220e-010	5.000342e+000	5.000344e+000	0.000000e+000
3.105133463246243e-010	5.000358e+000	5.000360e+000	0.000000e+000
3.318790182177073e-010	5.000377e+000	5.000379e+000	0.000000e+000
3.633817786191524e-010	5.000406e+000	5.000409e+000	0.000000e+000
3.967907399360538e-010	5.000438e+000	5.000440e+000	0.000000e+000
4.037892669524682e-010	5.000445e+000	5.000447e+000	0.000000e+000
4.177863209852969e-010	5.000459e+000	5.000461e+000	0.000000e+000
4.282841115099185e-010	5.000470e+000	5.000471e+000	0.000000e+000
4.300337432640221e-010	5.000472e+000	5.000473e+000	0.000000e+000
4.335330067722292e-010	5.000475e+000	5.000476e+000	0.000000e+000
4.361574544033846e-010	5.000478e+000	5.000479e+000	0.000000e+000
4.396567179115918e-010	5.000481e+000	5.000482e+000	0.000000e+000
4.466552449280062e-010	5.000488e+000	5.000489e+000	0.000000e+000
4.606522989608349e-010	5.000503e+000	5.000503e+000	0.000000e+000
4.886464070264924e-010	5.000532e+000	5.000531e+000	0.000000e+000
4.956449340429068e-010	5.000539e+000	5.000538e+000	0.000000e+000
5.096419880757355e-010	5.000554e+000	5.000552e+000	0.000000e+000
5.376360961413930e-010	5.000583e+000	5.000581e+000	0.000000e+000
5.829562604171589e-010	5.000628e+000	5.000628e+000	0.000000e+000
6.285495329031373e-010	5.000666e+000	5.000677e+000	0.000000e+000
6.915015223265407e-010	5.000698e+000	5.000744e+000	0.000000e+000
7.574149545313346e-010	5.000700e+000	5.000814e+000	0.000000e+000
8.132181694821118e-010	5.000666e+000	5.000867e+000	0.000000e+000
8.754858925413286e-010	5.000584e+000	5.000911e+000	0.000000e+000
9.149963034524056e-010	5.000509e+000	5.000926e+000	0.000000e+000
9.209791781778460e-010	5.000496e+000	5.000928e+000	0.000000e+000
9.329449276287269e-010	5.000466e+000	5.000929e+000	0.000000e+000
9.568764265304887e-010	5.000403e+000	5.000931e+000	0.000000e+000
1.000000000000000e-009	5.000284e+000	5.000933e+000	0.000000e+000
1.004312357346951e-009	5.000270e+000	5.000932e+000	0.000000e+000
1.012937072040854e-009	5.000242e+000	5.000931e+000	0.000000e+000
1.030186501428658e-009	5.000184e+000	5.000927e+000	0.000000e+000
1.064685360204267e-009	5.000056e+000	5.000921e+000	0.000000e+000
1.122385942473299e-009	4.999822e+000	5.000912e+000	0.000000e+000
1.210917217079314e-009	4.999424e+000	5.000901e+000	0.000000e+000
1.334397647901257e-009	4.998825e+000	5.000889e+000	0.000000e+000
1.475555224188583e-009	4.998105e+000	5.000875e+000	0.000000e+000
1.641839412163724e-009	4.997233e+000	5.000859e+000	0.000000e+000
1.870377418960944e-009	4.996020e+000	5.000836e+000	0.000000e+000
2.234560465517291e-009	4.994081e+000	5.000799e+000	0.000000e+000
2.842314666694895e-009	4.990844e+000	5.000736e+000	0.000000e+000
3.836320138621893e-009	4.985557e+000	5.000632e+000	0.000000e+000
5.579100497702097e-009	4.976299e+000	5.000451e+000	0.000000e+000
9.064661215862505e-009	4.957798e+000	5.000092e+000	0.000000e+000
1.603578265218332e-008	4.920820e+000	4.999397e+000	0.000000e+000
